epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,220.108,1.28258,1.24836,1.16761,0.74542,0.4593,0.50475,0.30627,1.47891,1.42511,1.30756,0.000197835,0.000197835,0.000197835
43,224.895,1.27319,1.23072,1.1559,0.7547,0.45953,0.51206,0.30898,1.47218,1.40027,1.31748,0.000194539,0.000194539,0.000194539
44,229.69,1.26301,1.19107,1.14326,0.73522,0.44592,0.50013,0.30244,1.47991,1.42147,1.31657,0.000191242,0.000191242,0.000191242
45,234.518,1.26105,1.21139,1.15934,0.78715,0.44009,0.51612,0.3089,1.46591,1.39645,1.3127,0.000187945,0.000187945,0.000187945
46,239.41,1.25716,1.21272,1.1501,0.67909,0.47093,0.50451,0.30115,1.49087,1.40977,1.31038,0.000184649,0.000184649,0.000184649
47,244.293,1.25323,1.18479,1.14834,0.73469,0.43241,0.49624,0.29577,1.49394,1.48149,1.329,0.000181352,0.000181352,0.000181352
48,249.228,1.26738,1.19409,1.15374,0.74493,0.47659,0.49861,0.29353,1.51676,1.425,1.33201,0.000178055,0.000178055,0.000178055
49,254.096,1.24382,1.16453,1.14362,0.6835,0.49684,0.51654,0.31228,1.4643,1.41007,1.30802,0.000174758,0.000174758,0.000174758
50,259.005,1.26289,1.21717,1.16441,0.67656,0.46134,0.50008,0.29601,1.47439,1.40692,1.3089,0.000171462,0.000171462,0.000171462
51,263.948,1.23727,1.14674,1.14812,0.70167,0.48364,0.53597,0.31615,1.48987,1.38467,1.31382,0.000168165,0.000168165,0.000168165
52,269.128,1.25099,1.16969,1.15183,0.68282,0.46312,0.51538,0.31214,1.47188,1.38552,1.30689,0.000164868,0.000164868,0.000164868
53,274.097,1.22991,1.13035,1.12668,0.695,0.46717,0.51219,0.30342,1.48231,1.36742,1.30709,0.000161572,0.000161572,0.000161572
54,278.945,1.21525,1.12944,1.13545,0.69578,0.49297,0.53554,0.32413,1.47483,1.3879,1.31068,0.000158275,0.000158275,0.000158275
55,283.779,1.23443,1.1351,1.13624,0.7041,0.49153,0.52767,0.31619,1.48725,1.40591,1.31732,0.000154978,0.000154978,0.000154978
56,288.581,1.20169,1.0984,1.12487,0.70253,0.47786,0.52241,0.31268,1.48285,1.38471,1.31833,0.000151682,0.000151682,0.000151682
57,293.467,1.20357,1.12108,1.11753,0.75704,0.46567,0.52194,0.31108,1.48752,1.3624,1.3111,0.000148385,0.000148385,0.000148385
58,298.299,1.20715,1.0875,1.11379,0.70941,0.50384,0.5293,0.32247,1.47405,1.39147,1.31044,0.000145088,0.000145088,0.000145088
59,303.165,1.19621,1.0693,1.11477,0.71644,0.4929,0.52295,0.31343,1.49269,1.40477,1.3144,0.000141791,0.000141791,0.000141791
60,308.091,1.19625,1.09578,1.12448,0.72679,0.50082,0.53696,0.3196,1.48695,1.36512,1.30736,0.000138495,0.000138495,0.000138495
61,313.043,1.18464,1.07653,1.11016,0.76998,0.47097,0.53574,0.3259,1.46744,1.35095,1.30828,0.000135198,0.000135198,0.000135198
62,317.889,1.18361,1.09652,1.12115,0.7404,0.48895,0.53665,0.32414,1.47991,1.36459,1.32003,0.000131901,0.000131901,0.000131901
63,322.992,1.17097,1.05397,1.11111,0.7465,0.49857,0.55006,0.32942,1.47909,1.33697,1.31533,0.000128605,0.000128605,0.000128605
64,328.056,1.18262,1.04796,1.1085,0.7761,0.47019,0.53512,0.32564,1.47616,1.33889,1.30812,0.000125308,0.000125308,0.000125308
65,332.972,1.17141,1.03477,1.11234,0.7149,0.47575,0.53,0.31726,1.49681,1.3561,1.32247,0.000122011,0.000122011,0.000122011
66,337.956,1.19608,1.04869,1.1193,0.72015,0.4943,0.53486,0.3183,1.4992,1.36168,1.32648,0.000118714,0.000118714,0.000118714
